instance,config,seed,total_iterations,total_time,best_cost,time_best_sol,iterations_best_sol
scqbf_025_1,GRASP_RANDOM_GREEDY,1,1,1800.0007784366608,1316.0,0.007933378219604492,1
scqbf_025_2,GRASP_RANDOM_GREEDY,1,1,1800.0002553462982,1279.0,0.0010652542114257812,1
scqbf_050_1,GRASP_RANDOM_GREEDY,1,1,1800.0018227100372,5257.0,0.1521615982055664,1
scqbf_050_2,GRASP_RANDOM_GREEDY,1,1,1800.0037105083466,5161.0,0.005261898040771484,1
scqbf_100_1,GRASP_RANDOM_GREEDY,1,1,1800.028502702713,16665.0,0.21780633926391602,1
scqbf_100_2,GRASP_RANDOM_GREEDY,1,1,1800.0222525596619,20383.0,0.03477978706359863,1
scqbf_200_1,GRASP_RANDOM_GREEDY,1,1,1800.863515138626,48906.0,1.9867184162139893,1
scqbf_200_2,GRASP_RANDOM_GREEDY,1,1,1800.1342594623566,80463.0,0.26883649826049805,1
scqbf_400_1,GRASP_RANDOM_GREEDY,1,1,1814.750699043274,141281.0,977.3287420272827,1
scqbf_400_2,GRASP_RANDOM_GREEDY,1,1,1800.498994588852,321752.0,2.028549909591675,1
